Name,Start Time,Start Direction,Start Alt,End Time,End Direction,End Alt
STARLINK-3107,22:16:13,NNW,16°,22:19:45,E,68°
STARLINK-1321,22:16:40,NW,13°,22:20:34,ENE,74°
COSMOS 2082,22:16:57,N,24°,22:21:39,ESE,44°
STARLINK-1305,22:19:41,SW,11°,22:27:52,NE,10°
STARLINK-4138,22:19:56,NW,11°,22:23:43,W,85°
STARLINK-3534,22:21:21,NW,12°,22:25:08,NE,69°
STARLINK-3090,22:21:53,NNW,14°,22:25:30,ENE,80°
STARLINK-3709,22:22:46,NW,12°,22:26:31,NE,70°
STARLINK-1347,22:22:47,NW,17°,22:25:51,NNE,84°
COSMOS 1782,22:24:34,NE,42°,22:27:34,NNE,10°
H-2 R/B,22:26:43,S,29°,22:38:36,NNW,10°
STARLINK-3054,22:27:51,NNW,13°,22:31:32,WNW,86°
COSMOS 2219,22:52:36,NW,22°,22:57:02,SW,41°
CUSAT 2 & FALCON 9 R/B,22:59:44,ESE,67°,23:05:25,NNE,10°
COSMOS 2278,23:33:29,W,68°,23:39:33,NNE,10°
