Name,Start Time,Start Direction,Start Alt,End Time,End Direction,End Alt
STARLINK-1752,00:55:45,NW,17°,01:01:11,SSE,25°
STARLINK-4055,00:56:50,SW,11°,01:04:53,NE,10°
STARLINK-1986,00:57:11,NNW,18°,01:01:54,ESE,31°
STARLINK-3118,00:57:18,N,11°,01:03:14,SE,28°
ATLAS CENTAUR R/B,00:57:28,WNW,17°,01:02:34,S,10°
STARLINK-3294,00:58:03,SSW,10°,01:06:06,NE,10°
STARLINK-1273,00:59:11,SW,10°,01:07:26,NE,10°
STARLINK-3636,01:00:04,NW,17°,01:05:04,SE,31°
STARLINK-2481,01:00:36,SSW,10°,01:08:04,NE,13°
COSMOS 1606,01:00:47,ESE,32°,01:04:36,NNE,10°
STARLINK-1617,01:01:17,NW,17°,01:06:30,SSE,27°
STARLINK-4196,01:01:38,NNW,18°,01:05:49,ESE,34°
STARLINK-1989,01:02:32,NNW,17°,01:07:13,SE,36°
SL-3 R/B,01:02:39,NNE,27°,01:08:38,SE,24°
STARLINK-3327,01:03:30,SSW,10°,01:11:40,NE,10°
DELTA 2 R/B(1),01:03:47,SW,21°,01:09:28,ENE,26°
STARLINK-2451,01:04:09,SW,16°,01:11:32,NE,10°
STARLINK-3085,01:04:15,N,17°,01:09:17,SSE,31°
STARLINK-5101,01:04:18,NW,18°,01:08:46,E,35°
STARLINK-3657,01:05:28,NW,16°,01:10:23,SSE,35°
STARLINK-1288,01:05:31,SW,16°,01:12:55,NE,10°
STARLINK-4146,01:05:59,S,16°,01:09:29,ESE,38°
STARLINK-4199,01:06:47,NNW,16°,01:11:07,ESE,41°
STARLINK-2475,01:06:54,SSW,16°,01:13:24,NE,15°
OKEAN-O,01:06:56,ENE,24°,01:10:37,NNE,10°
STARLINK-4066,01:07:19,S,15°,01:10:42,ESE,41°
STARLINK-5107,01:07:24,NW,16°,01:11:56,E,39°
STARLINK-1962,01:07:48,NW,15°,01:12:31,SE,41°
STARLINK-1205,01:09:06,NNW,15°,01:13:13,E,40°
STARLINK-3324,01:09:40,SSW,15°,01:17:12,NE,10°
STARLINK-3057,01:10:09,NNW,16°,01:15:19,SSE,34°
STARLINK-4801,01:10:37,NW,15°,01:15:11,E,43°
DELTA 2 R/B(1),01:10:44,W,16°,01:15:32,SSE,35°
STARLINK-3653,01:10:47,NW,14°,01:15:42,SSE,37°
STARLINK-4102,01:11:05,SSW,14°,01:14:38,ESE,46°
STARLINK-4191,01:12:00,NNW,14°,01:16:24,ESE,49°
STARLINK-2474,01:12:07,SSW,14°,01:18:44,NE,17°
STARLINK-3660,01:12:10,NW,14°,01:17:02,SSE,38°
